complaint_id,txn_id,user_id,merchant_id,complaint_text,disputed_amount_clean,transaction_timestamp_clean,reported_timestamp_clean,bank_response_timestamp_clean,resolution_status_clean,severity_clean,reason_code_clean,channel_clean,report_delay_days,txn_fk_valid,user_fk_valid,merchant_fk_valid,txn_amount,merchant_category_final,txn_status,disputed_amount_imputed
CBK0002400,TXN00015733,USR87357,MCH9878,customer complaint text unclear due to poor call center notes.,2313.86,2026-01-22 00:00:00,2026-01-25 00:00:00,2026-02-22 00:00:00,CLOSED,MEDIUM,Unauthorized Transaction,IVR,3.0,True,False,False,23068.15,Restaurant,SUCCESS,False
CBK0002758,,USR60667,MCH2383,payment made to unknown merchant as per customer statement.,1225.29,2026-03-23 06:19:08,2026-03-25 00:00:00,2026-04-13 00:00:00,IN_PROGRESS,MEDIUM,Suspected Fraud,Branch,1.0,False,True,True,,,,False
CBK0002250,TXN00008645,USR60783,MCH8613,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,5443.5,2026-01-12 12:57:11,2026-01-19 00:00:00,,CLOSED,HIGH,Unauthorized Transaction,Call Center,6.0,True,False,True,13409.45,Transportation,SUCCESS,False
CBK0000661,TXN00012553,USR87727,MCH8876,User claims account was compromised before transaction.,901.62,2026-01-21 17:03:00,2026-01-23 00:00:00,2026-02-15 06:03:00,RESOLVED,LOW,Service Not Delivered,IVR,1.0,True,False,True,7242.0,Restaurant,SUCCESS,False
CBK0001020,TXN00084758,USR36590,MCH1368,User says UPI PIN was not entered by them.,,2026-02-23 00:00:00,2026-02-26 00:00:00,2026-03-15 00:00:00,OPEN,HIGH,Service Not Delivered,IVR,3.0,False,False,False,,,,True
CBK0002104,TXN00006293,USR48479,MCH8779,Complaint received after multiple failed attempts.,2214.27,2026-01-08 00:00:00,2026-01-19 00:00:00,,REJECTED,LOW,Duplicate Debit,Branch,11.0,True,False,True,23793.04,Grocery,SUCCESS,False
CBK0002572,TXN00002760,USR49176,MCH2925,User says UPI PIN was not entered by them.,1345.79,2026-01-15 14:26:16,2026-01-30 00:00:00,2026-02-09 00:00:00,RESOLVED,LOW,Unauthorized Transaction,IVR,14.0,True,True,False,1564.0,Restaurant,SUCCESS,False
CBK0000929,TXN00014710,USR38547,MCH5541,Merchant service was not delivered after payment.,3089.13,2026-01-23 13:11:04,2026-02-03 12:11:04,2026-02-04 12:11:00,OPEN,MEDIUM,Unauthorized Transaction,IVR,10.0,True,True,True,1410.17,Grocery,SUCCESS,False
CBK0002608,TXN00012654,USR13367,MCH8076,User claims account was compromised before transaction.,326.32,2026-03-29 04:01:37,,2026-04-24 19:01:00,RESOLVED,LOW,Account Takeover,App,,True,False,True,11381.74,Hotel / Lodging,SUCCESS,False
CBK0002430,TXN00019681,USR37650,MCH5655,Customer says amount was debited twice.,9661.7,2026-01-29 00:00:00,2026-02-04 00:00:00,2026-02-15 00:00:00,RESOLVED,HIGH,Service Not Delivered,IVR,6.0,True,True,False,21121.95,Book Store,SUCCESS,False
CBK0002156,TXN00013206,USR11987,MCH6665,Complaint received after multiple failed attempts.,26477.69,2026-01-24 09:52:00,2026-01-25 04:52:00,,IN_PROGRESS,HIGH,Customer Dispute,Email,0.0,True,True,True,22912.54,Restaurant,SUCCESS,False
CBK0000366,TXN00002078,USR73403,MCH5076,Customer says transaction was not authorized.,6907.46,2026-03-02 18:29:32,2026-03-04 00:00:00,,CLOSED,LOW,Wrong Amount,Call Center,1.0,True,False,False,11286.47,Grocery,SUCCESS,False
CBK0000432,TXN00094213,USR96958,MCH7286,User reports money deducted but merchant denies receiving payment.,1411.26,2026-01-29 00:00:00,2026-02-01 00:00:00,2026-02-02 00:00:00,RESOLVED,HIGH,Unauthorized Transaction,Email,3.0,False,False,False,,,,False
CBK0001972,TXN00001376,USR12133,MCH6555,Merchant service was not delivered after payment.,1261.15,2026-02-01 02:24:08,2026-02-06 04:24:08,,CLOSED,MEDIUM,Service Not Delivered,Chatbot,5.0,True,False,True,21770.0,Restaurant,SUCCESS,False
CBK0001250,TXN00015587,USR11697,MCH8741,Complaint received after multiple failed attempts.,11364.57,2026-02-02 00:00:00,2026-02-05 00:00:00,,PENDING_BANK,LOW,Service Not Delivered,App,3.0,True,False,True,5205.12,Restaurant,SUCCESS,False
CBK0001283,TXN00002013,USR31545,MCH5974,Suspicious high-value payment disputed by customer.,439.0,,2026-03-04 02:59:29,2026-03-28 00:00:00,REJECTED,MEDIUM,Unauthorized Transaction,Call Center,,True,False,True,22661.87,Restaurant,SUCCESS,False
CBK0000973,TXN00016040,USR25345,MCH3851,Complaint received after multiple failed attempts.,3127.0,2026-02-04 00:00:00,2026-02-06 00:00:00,2026-03-07 00:00:00,PENDING_BANK,LOW,Unauthorized Transaction,IVR,2.0,True,False,False,9770.15,Hotel / Lodging,FAILED,False
CBK0000578,TXN00006468,USR71457,MCH6810,Suspicious high-value payment disputed by customer.,7884.04,2026-01-09 11:52:43,2026-01-11 20:52:43,2026-01-13 00:00:00,IN_PROGRESS,LOW,Unauthorized Transaction,IVR,2.0,True,True,False,1773.05,Grocery,PENDING,False
CBK0001696,TXN00019601,USR19556,MCH5844,Suspicious high-value payment disputed by customer.,9956.85,2026-03-08 00:00:00,2026-03-09 13:14:00,2026-04-03 00:00:00,CLOSED,HIGH,Account Takeover,Chatbot,1.0,True,False,False,5120.0,Transportation,SUCCESS,False
CBK0002333,TXN00002832,USR10042,MCH1611,Merchant service was not delivered after payment.,8214.17,2026-03-02 13:26:00,2026-03-05 00:00:00,2026-04-04 00:00:00,REJECTED,MEDIUM,Account Takeover,IVR,2.0,True,False,True,16564.23,Department Store,SUCCESS,False
CBK0001122,TXN00015275,USR61052,MCH8979,Complaint received after multiple failed attempts.,320.53,2026-03-07 00:00:00,2026-03-13 16:27:48,2026-04-11 16:27:48,REJECTED,MEDIUM,Service Not Delivered,IVR,6.0,True,False,False,9385.66,Restaurant,SUCCESS,False
CBK0000959,TXN00011129,USR50320,MCH6319,User reports money deducted but merchant denies receiving payment.,4888.42,2026-02-07 00:00:00,2026-03-09 11:52:00,,CLOSED,MEDIUM,Unauthorized Transaction,Email,30.0,True,False,False,11204.08,Grocery,SUCCESS,False
CBK0001968,,USR46599,MCH1320,Customer says amount was debited twice.,2799.09,2026-03-21 00:00:00,2026-03-23 00:00:00,2026-04-13 03:36:00,PENDING_BANK,MEDIUM,Customer Dispute,Email,2.0,False,False,True,,,,False
CBK0001828,TXN00016623,USR59679,MCH8755,Customer says amount was debited twice. pls check asap,818.66,2026-01-05 00:00:00,2026-01-15 08:21:37,2026-02-03 08:21:37,PENDING_BANK,HIGH,Account Takeover,Branch,10.0,True,False,True,10583.72,Department Store,SUCCESS,False
CBK0001654,TXN00012039,USR76792,MCH6492,User reports money deducted but merchant denies receiving payment.,966.0,2026-02-05 00:00:00,2026-02-07 05:28:28,2026-02-22 05:28:00,IN_PROGRESS,HIGH,Wrong Amount,Call Center,2.0,True,False,True,13934.9,Grocery,SUCCESS,False
CBK0002440,TXN00014010,USR71922,MCH6703,complaint received after multiple failed attempts.,1883.55,2026-01-31 08:39:15,2026-02-01 08:39:00,,IN_PROGRESS,HIGH,Unauthorized Transaction,IVR,0.0,True,True,False,24540.45,Medical / Pharmacy,SUCCESS,False
CBK0001278,TXN00008385,USR17657,MCH3542,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,1944.27,2026-02-20 00:00:00,2026-04-06 00:00:00,,RESOLVED,LOW,Customer Dispute,Chatbot,45.0,True,False,False,6455.91,Telecom,SUCCESS,False
CBK0002370,TXN00001816,USR24664,MCH3992,Payment made to unknown merchant as per customer statement.,6501.45,2026-03-25 00:00:00,2026-03-26 19:41:41,2026-04-13 00:00:00,PENDING_BANK,LOW,Duplicate Debit,Call Center,1.0,True,False,False,24196.82,Medical / Pharmacy,SUCCESS,False
CBK0001105,TXN00019695,USR34180,MCH6310,User reports money deducted but merchant denies receiving payment.,1782.96,2026-03-04 00:00:00,,,OPEN,MEDIUM,Duplicate Debit,Chatbot,,True,False,False,17962.97,Transportation,SUCCESS,False
CBK0000180,TXN00019503,USR70812,MCH3936,user claims account was compromised before transaction.,1537.27,2026-01-18 00:00:00,2026-01-22 00:00:00,2026-02-02 00:00:00,IN_PROGRESS,LOW,Service Not Delivered,Branch,4.0,True,True,True,15791.16,Medical / Pharmacy,SUCCESS,False
CBK0000369,TXN00008758,USR86274,MCH3418,User says UPI PIN was not entered by them.,11352.0,2026-03-18 04:15:38,2026-03-20 15:15:38,,IN_PROGRESS,MEDIUM,Unauthorized Transaction,IVR,2.0,True,False,True,8195.88,Transportation,SUCCESS,False
CBK0002303,TXN00016593,USR96415,MCH1320,Customer complaint text unclear due to poor call center notes.,6511.97,2026-01-11 00:00:00,2026-01-13 00:00:00,2026-01-22 01:23:48,RESOLVED,MEDIUM,Unauthorized Transaction,IVR,2.0,True,True,True,16331.74,Telecom,SUCCESS,False
CBK0001525,TXN00004103,USR18453,MCH7793,User claims account was compromised before transaction.,4864.83,,2026-01-28 00:00:00,2026-02-01 00:00:00,CLOSED,MEDIUM,Account Takeover,Email,,True,False,False,13708.15,Grocery,SUCCESS,False
CBK0000316,TXN00016400,USR40842,MCH3815,COMPLAINT RECEIVED AFTER MULTIPLE FAILED ATTEMPTS.,1616.81,2026-03-18 00:00:00,2026-04-18 00:00:00,2026-05-03 00:00:00,RESOLVED,MEDIUM,Wrong Amount,Chatbot,31.0,True,False,False,23774.69,Department Store,SUCCESS,False
CBK0001238,TXN00006193,USR35817,MCH7061,Customer says amount was debited twice.,26207.56,2026-03-12 00:00:00,2026-03-13 00:00:00,2026-04-10 00:00:00,IN_PROGRESS,LOW,Suspected Fraud,App,1.0,True,True,True,19571.0,Telecom,FAILED,False
CBK0002585,TXN00018187,USR23937,MCH4560,Customer complaint text unclear due to poor call center notes.,1651.6,2026-03-24 00:00:00,2026-03-27 00:00:00,2026-04-14 14:38:55,RESOLVED,MEDIUM,Account Takeover,Chatbot,3.0,True,True,True,1651.6,Apparel,SUCCESS,True
CBK0001427,TXN00019824,USR76289,MCH5563,Suspicious high-value payment disputed by customer.,755.08,2026-01-06 00:00:00,2026-02-05 00:00:00,2026-03-03 08:07:00,REJECTED,CRITICAL,Service Not Delivered,Email,30.0,True,True,True,12765.01,Transportation,SUCCESS,False
CBK0002514,TXN00001801,USR99493,MCH3992,Customer says transaction was not authorized.,4455.8,2026-03-12 14:53:38,,2026-03-19 00:00:00,PENDING_BANK,LOW,Service Not Delivered,Branch,,True,False,False,23912.97,Medical / Pharmacy,SUCCESS,False
CBK0001680,TXN00009645,USR11085,MCH7073,Complaint received after multiple failed attempts.,3937.19,2026-01-31 16:31:00,2026-02-02 00:00:00,,OPEN,MEDIUM,Service Not Delivered,Chatbot,1.0,True,False,False,9415.92,Transportation,SUCCESS,False
CBK0002041,TXN00015934,USR69637,MCH2240,Customer complaint text unclear due to poor call center notes.,1508.23,,2026-03-24 00:00:00,2026-04-17 00:00:00,CLOSED,HIGH,Customer Dispute,Chatbot,,True,True,True,648.43,Grocery,SUCCESS,False
CBK0002780,TXN00040959,USR75376,MCH4293,User says UPI PIN was not entered by them.,823.15,2026-02-26 00:00:00,2026-03-13 00:00:00,,IN_PROGRESS,HIGH,Service Not Delivered,Chatbot,15.0,False,False,False,,,,False
CBK0000294,TXN00019876,USR55690,MCH6739,CUSTOMER COMPLAINT TEXT UNCLEAR DUE TO POOR CALL CENTER NOTES.,2134.32,,,2026-03-20 23:37:00,PENDING_BANK,LOW,Duplicate Debit,IVR,,True,False,False,4323.96,,PENDING,False
CBK0002617,TXN00016671,USR60544,MCH7838,User claims account was compromised before transaction.,1587.1,2026-02-09 00:00:00,2026-02-24 00:00:00,2026-03-17 23:17:16,REJECTED,LOW,Customer Dispute,Call Center,15.0,True,False,True,14688.72,Grocery,SUCCESS,False
CBK0001175,TXN00061071,USR22543,MCH3116,customer says amount was debited twice.,,2026-02-04 15:43:17,2026-02-10 00:00:00,2026-02-22 11:43:00,IN_PROGRESS,CRITICAL,Customer Dispute,Chatbot,5.0,False,False,False,,,,True
CBK0001087,TXN00014733,USR20889,MCH5264,Suspicious high-value payment disputed by customer.,1558.23,2026-02-06 00:00:00,2026-02-06 00:00:00,,IN_PROGRESS,HIGH,Service Not Delivered,Call Center,0.0,True,False,False,4022.34,Medical / Pharmacy,SUCCESS,False
