merchant_id,merchant_name,state,mcc_clean,merchant_category_clean,business_type_clean,city_clean,onboarding_date_clean,merchant_status_clean,avg_ticket_was_negative,declared_avg_ticket_size_clean,settlement_account_on_file
MCH6329,Srinivas-Banerjee,West Bengal,,,Individual,Kolkata,2024-05-12 00:00:00,ACTIVE,False,199.46,True
MCH3206,Ahuja-Din,Telangana,5311,Department Store,Sole Proprietor,Hyderabad,2026-01-11 13:50:54,ACTIVE,False,1244.0,True
MCH5632,Tandon Ltd,Karnataka,5311,Department Store,Sole Proprietor,Bangalore,2025-05-29 12:56:08,ACTIVE,False,270.52,False
MCH3281,Ranganathan and Sons,West Bengal,5311,Department Store,Partnership,Kolkata,2024-03-01 00:00:00,ACTIVE,True,649.49,True
MCH2978,Deshpande LLC,Uttar Pradesh,7011,Hotel / Lodging,Private Limited,Lucknow,2023-02-01 23:57:31,ACTIVE,False,194.6,True
MCH7219,Dhawan-Saha,Delhi,7011,Hotel / Lodging,Individual,Delhi,2026-01-06 00:00:00,INACTIVE,False,2354.94,True
MCH3757,Chokshi PLC,Rajasthan,4814,Telecom,Private Limited,Jaipur,2025-10-23 10:04:00,ACTIVE,False,2492.69,True
MCH1214,Padmanabhan Gr0up,Punjab,4814,Telecom,Individual,Amritsar,2025-08-24 00:00:00,ACTIVE,True,362.46,False
MCH2249,Bahri-Nagarajan,Punjab,7011,Hotel / Lodging,Sole Proprietor,Ludhiana,2024-11-17 00:00:00,ACTIVE,False,590.8,True
MCH9098,Manda and Sons,Karnataka,5812,Restaurant,Partnership,Bangalore,2024-03-03 16:14:27,ACTIVE,False,870.0,True
MCH7932,SETHI LTD,Karnataka,4814,Telecom,Private Limited,Bangalore,2025-04-20 22:28:00,ACTIVE,False,4410.18,True
MCH3497,"Gokhale, Parmer and Contractor",Punjab,,,Individual,Jalandhar,2023-11-03 21:39:51,ACTIVE,True,403.24,False
MCH8517,"Bandi, Bir and Buch",Delhi,5912,Medical / Pharmacy,Individual,Delhi,2025-05-12 00:00:00,ACTIVE,False,2544.34,True
MCH6890,Pandit-Narasimhan,West Bengal,7011,Hotel / Lodging,Private Limited,Kolkata,2024-04-21 00:00:00,INACTIVE,False,525.87,True
MCH6632,"Om, Mall and Sandhu",Uttar Pradesh,,,Partnership,Lucknow,2023-07-28 00:00:00,SUSPENDED,False,996.13,True
MCH7269,La11-Raman,Uttar Pradesh,4814,Telecom,Private Limited,Lko,2023-10-25 09:50:57,ACTIVE,False,1031.92,True
MCH1492,"PANCHAL, BAIL AND NADKARNI",Rajasthan,5912,Medical / Pharmacy,Sole Proprietor,Jaipur,2024-07-05 00:00:00,SUSPENDED,False,6674.02,False
MCH6115,Padmanabhan-Chahal,Maharashtra,,,Private Limited,Mumbai,2024-03-01 00:00:00,INACTIVE,False,266.65,True
MCH5950,Dey-Raj,Punjab,5999,Misc Retail,Sole Proprietor,Amritsar,2025-11-29 00:00:00,ACTIVE,True,3256.77,True
MCH3556,Andra-Nagar,Maharashtra,5999,Misc Retail,Sole Proprietor,Pune,2025-05-04 18:43:19,ACTIVE,False,1107.13,False
MCH4842,Pa11a LLC,West Bengal,5942,Book Store,Individual,Kolkata,2024-12-19 00:00:00,ACTIVE,False,3127.0,True
MCH2922,Chhabra-Jha,Maharashtra,5999,Misc Retail,Sole Proprietor,Mumbai,2024-10-10 00:00:00,ACTIVE,True,1096.49,True
MCH3604,"Shetty, Bali and Sama",Punjab,5411,Grocery,Partnership,Ludhiana,2023-01-04 01:07:44,ACTIVE,False,394.0,True
MCH9785,Nagarajan PLC,Maharashtra,5699,Apparel,Individual,Mumbai,2025-08-06 00:00:00,ACTIVE,False,2709.78,False
MCH7659,"Pandya, Bakshi and Chaudhary",Tamil Nadu,4131,Transportation,Private Limited,Chennai,2023-04-16 18:19:00,ACTIVE,False,1564.19,True
MCH1600,"warrior, anand and kata",Tamil Nadu,5311,Department Store,Individual,Chennai,2025-10-07 00:00:00,ACTIVE,False,2937.03,True
MCH4029,Kuruvilla and Sons,Maharashtra,5411,Grocery,Private Limited,Pune,,ACTIVE,False,55.43,True
MCH1392,Johal-Gaba,Maharashtra,5912,Medical / Pharmacy,Private Limited,Pune,2024-02-20 00:00:00,INACTIVE,False,4352.7,True
MCH4985,HAYRE AND SONS,Uttar Pradesh,5942,Book Store,Partnership,Lucknow,2023-08-01 00:00:00,ACTIVE,False,1981.89,True
MCH8808,"Kothari, Bansal and Gupta",Karnataka,,,Individual,Bangalore,2025-09-19 01:30:00,ACTIVE,False,380.0,True
MCH2074,D’Alia Inc,Rajasthan,5699,Apparel,Partnership,Jaipur,2025-10-22 19:54:55,ACTIVE,False,1616.2,True
MCH1256,Vala Inc,West Bengal,5912,Medical / Pharmacy,Sole Proprietor,Kolkata,2025-01-17 00:00:00,SUSPENDED,False,1415.24,False
MCH8440,"Chacko, Natarajan and Menon",Maharashtra,5999,Misc Retail,Individual,Mumbai,2025-01-19 00:00:00,ACTIVE,False,775.41,False
MCH3060,Deep-Tata,Punjab,5311,Department Store,Individual,Amritsar,2023-04-17 00:00:00,ACTIVE,True,2601.81,False
MCH4025,Hegde-Sule,Telangana,5311,Department Store,Individual,Hyderabad,,INACTIVE,False,1108.29,True
MCH6970,CHOPRA-LOKE,Rajasthan,5311,Department Store,Partnership,Jaipur,2025-02-13 00:00:00,ACTIVE,False,564.18,False
MCH2850,Reddy-Kara,Rajasthan,4131,Transportation,Private Limited,Jaipur,2024-04-22 00:00:00,ACTIVE,True,953.86,True
MCH3401,chana llc,Tamil Nadu,5411,Grocery,Individual,Chennai,,ACTIVE,False,3703.23,True
MCH1060,"Subramaniam, Rama and Contractor",Telangana,4131,Transportation,Individual,Hyderabad,2024-05-02 09:00:14,ACTIVE,False,480.0,True
MCH9966,"Kara, Chanda and Hayre",West Bengal,4131,Transportation,Individual,Kolkata,2024-01-16 20:22:00,ACTIVE,False,3566.37,True
MCH2723,Purohit-Dani,Punjab,,,Individual,Amritsar,2024-04-16 04:10:00,ACTIVE,False,1384.67,True
MCH1457,Shetty Group,Punjab,5999,Misc Retail,Individual,Jalandar,2025-07-11 00:00:00,ACTIVE,False,1159.43,True
MCH7866,Bhattacharyya and Sons,Delhi,5311,Department Store,Partnership,Delhi,2025-10-31 05:29:00,ACTIVE,False,2522.0,True
MCH9528,Kibe-Memon,Delhi,5699,Apparel,Sole Proprietor,Delhi,2025-12-07 00:00:00,ACTIVE,False,5399.84,True
MCH3971,Sura PLC,Delhi,7011,Hotel / Lodging,Individual,Delhi,2024-04-17 13:25:57,ACTIVE,False,748.82,False
MCH8031,CHOKSHI LTD,Telangana,7011,Hotel / Lodging,Individual,Hyderabad,2025-07-26 00:00:00,ACTIVE,False,2110.06,True
MCH8431,Bala Group,Punjab,4131,Transportation,Individual,Ldh,2025-05-02 00:00:00,ACTIVE,False,964.23,True
MCH3058,Patla-Padmanabhan,Maharashtra,5942,Book Store,Individual,Pune,2024-10-18 00:00:00,ACTIVE,False,974.77,True
MCH8327,Men0n Ltd,Karnataka,,,Individual,Bangalore,2023-06-18 18:05:34,INACTIVE,False,1670.04,False
MCH2412,Nadig Inc,Telangana,5942,Book Store,Individual,Hyderabad,2024-12-08 07:03:51,ACTIVE,False,144.12,True
MCH2904,IYENGAR-COMAR,Delhi,5999,Misc Retail,Private Limited,Delhi,2026-01-05 00:00:00,ACTIVE,False,1147.91,True
MCH5405,Balan-Sabharwal,Karnataka,5812,Restaurant,Individual,Bangalore,2023-04-07 06:56:55,ACTIVE,False,2280.95,False
MCH3926,Master-Sarin,Telangana,5999,Misc Retail,Individual,Hyderabad,2025-05-08 00:00:00,ACTIVE,False,1913.5,False
MCH8130,"Kale, Kumer and Chand",Punjab,,,Partnership,Ludhiana,2026-02-05 04:03:44,ACTIVE,False,419.61,True
MCH1571,"Rao, Viswanathan and Joshi",Tamil Nadu,4131,Transportation,Sole Proprietor,Chennai,2023-08-03 04:40:51,ACTIVE,False,866.2,False
MCH9626,Gu1ati-Chhabra,Uttar Pradesh,4814,Telecom,Partnership,Lucknow,2025-02-21 13:12:50,ACTIVE,False,880.0,False
MCH2099,"tara, date and thakur",Tamil Nadu,4131,Transportation,Sole Proprietor,Chennai,2023-06-28 00:00:00,ACTIVE,False,1054.15,True
MCH1841,Kadakia-Rao,West Bengal,,,Sole Proprietor,Kolkata,2025-07-01 00:00:00,ACTIVE,False,532.17,True
MCH7901,BALA GROUP,Rajasthan,5812,Restaurant,Partnership,Jaipur,2023-03-02 12:07:59,ACTIVE,False,,True
MCH5570,"Sahni, Bala and Sharma",Delhi,5999,Misc Retail,Individual,Delhi,2025-11-28 06:01:37,SUSPENDED,False,1506.33,False
MCH5328,Dhaliwal Inc,West Bengal,5812,Restaurant,Private Limited,Kolkata,2025-04-19 00:00:00,ACTIVE,False,375.06,False
MCH2408,"Kumar, Din and Sule",Karnataka,5999,Misc Retail,Sole Proprietor,Bangalore,,ACTIVE,True,2001.55,False
MCH9448,"Sant, Manda and Khurana",Punjab,,,Partnership,Jalandhar,2023-10-08 00:00:00,INACTIVE,False,522.0,True
MCH9463,Boase and Sons,Punjab,5942,Book Store,Private Limited,Amritsar,2025-06-01 16:04:50,ACTIVE,False,835.0,True
MCH5882,"Barad, Kara and Gokhale",Tamil Nadu,,,Sole Proprietor,Chennai,2024-09-25 00:00:00,INACTIVE,False,626.5,True
MCH5072,Shroff-Sangha,Rajasthan,5999,Misc Retail,Private Limited,Jaipur,2024-12-08 00:00:00,ACTIVE,False,3955.29,True
MCH2817,Keer and Sons,Punjab,5999,Misc Retail,Private Limited,Ludhiana,2025-05-19 00:00:00,INACTIVE,False,2074.28,True
MCH8984,Sharma Group,Punjab,5812,Restaurant,Private Limited,Ludhiana,2023-06-21 00:00:00,ACTIVE,False,590.58,False
MCH6109,Sampath Ltd,Punjab,4814,Telecom,Individual,Ldh,2026-01-15 23:34:00,ACTIVE,False,399.08,True
MCH5182,"kadakia, raman and badal",Punjab,4131,Transportation,Sole Proprietor,Amritsar,2023-07-15 00:00:00,INACTIVE,False,932.0,True
MCH4839,Sura-Mall,Punjab,,,Private Limited,Ludhiana,2025-12-08 00:00:00,ACTIVE,False,682.13,False
MCH4369,"Gupta,ManeandBhasin",Telangana,5812,Restaurant,Individual,Hyderabad,2025-03-03 00:00:00,ACTIVE,False,950.76,False
MCH3333,Dada PLC,Maharashtra,5999,Misc Retail,Private Limited,Mumbai,2024-03-18 00:00:00,ACTIVE,False,668.0,False
MCH9278,Pant PLC,Karnataka,5942,Book Store,Partnership,Bangalore,2024-06-25 23:31:00,ACTIVE,False,822.0,True
MCH7305,Iyer-Nagi,Maharashtra,5699,Apparel,Individual,Mumbai,2023-08-23 00:00:00,ACTIVE,False,1967.89,False
MCH7912,Sarma-Arya,Uttar Pradesh,5699,Apparel,Private Limited,Lucknow,2025-01-01 00:00:00,ACTIVE,False,1318.64,True
MCH8809,"Doshi, Ghose and Amble",Maharashtra,5411,Grocery,Individual,Mumbai,,ACTIVE,False,3965.67,False
MCH5498,"Gera, Narayan and Sankaran",West Bengal,5311,Department Store,Partnership,Kolkata,2025-11-10 00:00:00,ACTIVE,False,849.49,True
MCH5923,"Banik, Yogi and Seth",Delhi,4814,Telecom,Individual,Delhi,,INACTIVE,False,378.2,True
MCH6450,"Goel, Madan and Gola",Tamil Nadu,5942,Book Store,Individual,Chennai,2025-10-15 00:00:00,SUSPENDED,False,855.0,False
MCH6822,"Sankar, Deol and Goswami",Rajasthan,4814,Telecom,Sole Proprietor,Jaipur,2025-03-31 00:00:00,INACTIVE,True,1194.99,True
MCH5995,Bassi Ltd,Uttar Pradesh,5812,Restaurant,Private Limited,Lko,2024-02-01 00:00:00,ACTIVE,False,2631.68,True
MCH5879,"Sridhar, Sani and Ma11",Telangana,4814,Telecom,Individual,Hyderabad,2025-12-30 20:57:31,ACTIVE,True,3624.48,True
MCH4682,Chaudry LLC,Telangana,4131,Transportation,Individual,Hyderabad,2024-01-28 10:50:34,ACTIVE,True,1772.5,False
MCH1261,"Cheema, Savant and Bakshi",Punjab,5311,Department Store,Sole Proprietor,Ludhiana,2024-06-03 00:00:00,INACTIVE,False,,True
MCH2964,Bala-Sarkar,Punjab,4814,Telecom,Individual,Jalandar,2025-06-20 00:00:00,ACTIVE,False,1298.45,True
MCH5362,"kunda, tiwari and nagi",Rajasthan,5912,Medical / Pharmacy,Private Limited,Jaipur,2024-08-09 20:44:38,INACTIVE,False,1922.99,False
MCH5285,"Yadav, Dhawan and Bahri",Karnataka,5311,Department Store,Individual,Bangalore,2025-08-03 00:00:00,ACTIVE,False,220.0,True
MCH3998,"krish, tak and peri",Punjab,4814,Telecom,Partnership,Ludhiana,2023-08-16 00:00:00,ACTIVE,False,1019.25,False
MCH4926,Shankar Ltd,Telangana,5812,Restaurant,Individual,Hyderabad,2024-12-28 03:14:33,ACTIVE,False,,True
MCH9424,Sur-Bajaj,Karnataka,5311,Department Store,Sole Proprietor,Bangalore,2025-04-18 00:00:00,ACTIVE,False,1902.79,True
MCH7504,Balay PLC,Tamil Nadu,7011,Hotel / Lodging,Individual,Chennai,2025-10-24 10:34:44,ACTIVE,False,1030.01,True
MCH2504,Mittal Ltd,Maharashtra,5999,Misc Retail,Individual,Pune,2024-12-29 00:00:00,INACTIVE,False,1689.96,True
MCH8484,"Grover, Swamy and Johal",West Bengal,5912,Medical / Pharmacy,Private Limited,Kolkata,2023-08-17 22:00:16,SUSPENDED,False,1273.08,False
MCH3023,Arora LLC,Karnataka,7011,Hotel / Lodging,Individual,Bangalore,2025-02-03 00:00:00,INACTIVE,False,1722.88,False
MCH4106,Dey and Sons,Telangana,5411,Grocery,Private Limited,Hyderabad,2026-01-31 00:00:00,ACTIVE,False,4216.77,True
MCH6059,Bhargava PLC,Rajasthan,7011,Hotel / Lodging,Private Limited,Jaipur,2025-07-16 00:00:00,SUSPENDED,False,333.57,True
MCH4801,Bhargava-Basak,Uttar Pradesh,5311,Department Store,Sole Proprietor,Lucknow,2025-11-18 06:19:46,ACTIVE,False,2920.36,True
MCH3418,Parsa-Parikh,Telangana,5912,Medical / Pharmacy,Partnership,Hyderabad,2024-07-15 00:00:00,ACTIVE,False,8725.31,True
MCH6052,nayak-wadhwa,Rajasthan,5912,Medical / Pharmacy,Private Limited,Jaipur,2023-07-12 00:00:00,ACTIVE,False,600.38,True
MCH6923,"kumar, hayre and grover",Uttar Pradesh,5942,Book Store,Partnership,Lko,2024-03-12 00:00:00,INACTIVE,False,937.24,True
MCH7749,"dhaliwal, chaudhari and lad",Uttar Pradesh,4131,Transportation,Private Limited,Lko,2023-03-28 01:45:50,ACTIVE,False,472.27,False
MCH7607,"vyas, ramakrishnan and narayanan",Punjab,,,Sole Proprietor,Amritsar,2025-01-02 19:37:48,ACTIVE,False,7039.03,True
MCH4864,Date Ltd,Karnataka,5411,Grocery,Private Limited,Bangalore,2023-12-06 01:02:00,ACTIVE,False,4042.64,True
MCH1843,Edwin and Sons,Delhi,5999,Misc Retail,Sole Proprietor,Delhi,2024-09-19 00:00:00,ACTIVE,False,,False
MCH2559,"Sastry, Dhar and Kibe",Maharashtra,7011,Hotel / Lodging,Partnership,Pune,2023-05-08 00:00:00,ACTIVE,False,1827.84,True
MCH5927,"Hayer, Palla and Ganesh",Uttar Pradesh,5699,Apparel,Private Limited,Lucknow,2024-06-16 00:00:00,ACTIVE,False,3764.09,False
MCH6105,upadhyay plc,West Bengal,7011,Hotel / Lodging,Sole Proprietor,Kolkata,2024-02-07 00:26:26,ACTIVE,False,527.81,False
MCH8782,SWAMY-KHURANA,Punjab,5699,Apparel,Sole Proprietor,Amritsar,2025-04-29 00:00:00,ACTIVE,False,1314.55,False
MCH8019,Chaudhry-Naidu,Rajasthan,5942,Book Store,Private Limited,Jaipur,,ACTIVE,False,888.78,False
MCH6707,Chandra Group,Punjab,4814,Telecom,Private Limited,Ldh,2024-02-10 21:32:02,ACTIVE,False,648.63,False
MCH4743,Ahluwalia-Bansal,Punjab,,,Private Limited,Ludhiana,2023-08-23 00:00:00,INACTIVE,False,486.29,True
MCH4277,"Lad, Krish and Lad",Telangana,4131,Transportation,Private Limited,Hyderabad,2024-06-04 00:00:00,ACTIVE,False,472.96,False
MCH4867,"Nath, Taneja and Dey",Karnataka,5812,Restaurant,Partnership,Bangalore,2024-08-05 00:00:00,ACTIVE,False,726.56,True
MCH4282,PINGLE LTD,Punjab,5311,Department Store,Sole Proprietor,Amritsar,2023-05-26 08:14:58,ACTIVE,False,816.0,False
MCH5737,"Chaudhary, Raghavan and Brahmbhatt",Punjab,5912,Medical / Pharmacy,Individual,Amritsar,2026-02-25 00:00:00,ACTIVE,False,1419.52,False
MCH6519,Mane-Madan,Punjab,5699,Apparel,Partnership,Ludhiana,2024-12-25 00:00:00,ACTIVE,False,978.4,False
MCH2902,"Narang, Varghese and Sur",Punjab,4131,Transportation,Individual,Amritsar,2023-04-11 16:20:00,ACTIVE,False,1675.0,False
MCH8374,"KOHLI, CHAKRABORTY AND WALI",Uttar Pradesh,5942,Book Store,Sole Proprietor,Lucknow,2025-02-16 16:31:03,ACTIVE,False,838.62,False
MCH2217,"Rai, Bala and Shenoy",Maharashtra,5411,Grocery,Individual,Mumbai,2023-08-15 00:00:00,ACTIVE,False,728.77,True
MCH4739,Karpe-Doshi,Uttar Pradesh,5411,Grocery,Individual,Lucknow,2023-10-20 00:00:00,ACTIVE,True,1100.69,True
MCH1345,Bhat Inc,Telangana,5311,Department Store,Private Limited,Hyderabad,2025-01-28 00:00:00,ACTIVE,False,1702.79,True
MCH2493,"Tella, Lata and Tripathi",Rajasthan,4814,Telecom,Individual,Jaipur,2023-10-28 00:00:00,ACTIVE,True,4200.08,True
MCH2471,Das Group,Punjab,5942,Book Store,Individual,Jalandhar,2024-05-30 00:00:00,ACTIVE,False,3177.16,True
MCH8854,Kohli-Aurora,Tamil Nadu,4131,Transportation,Private Limited,Chennai,2023-12-04 00:00:00,ACTIVE,True,429.48,True
MCH5056,subramaniam plc,Karnataka,5411,Grocery,Partnership,Bangalore,,SUSPENDED,False,473.92,True
